         6673132 function calls (6671433 primitive calls) in 16.109 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 ast.py:27(<module>)
      142    0.000    0.000    0.000    0.000 sre_parse.py:268(_escape)
      261    0.000    0.000    0.000    0.000 {numpy.promote_types}
       39    0.000    0.000    0.000    0.000 _inspect.py:142(formatargspec)
        1    0.000    0.000    0.000    0.000 signals.py:1(<module>)
        1    0.000    0.000    0.000    0.000 decimal.py:505(Decimal)
       35    0.000    0.000    0.000    0.000 {method 'repeat' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
        1    0.000    0.000    0.000    0.000 base.py:64(spmatrix)
       84    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
       11    0.000    0.000    0.000    0.000 twodim_base.py:475(vander)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
       50    0.000    0.000    0.000    0.000 {_ctypes.pointer}
      309    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       54    0.000    0.000    0.000    0.000 _internal.py:843(_ufunc_doc_signature_formatter)
        1    0.000    0.000    0.002    0.002 _add_newdocs.py:10(<module>)
      516    0.000    0.000    0.000    0.000 stride_tricks.py:121(<genexpr>)
      272    0.000    0.000    0.000    0.000 function_base.py:431(_add_docstring)
        4    0.000    0.000    0.000    0.000 numeric.py:3083(extend_all)
        1    0.000    0.000    0.000    0.000 opcode.py:5(<module>)
       12    0.000    0.000    0.000    0.000 utils.py:75(__call__)
      118    0.000    0.000    0.000    0.000 {built-in method Gnear}
      430    0.000    0.000    0.000    0.000 Fiber.py:448(getw)
      687    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
      363    0.000    0.000    0.000    0.000 collections.py:349(<genexpr>)
       16    0.000    0.000    0.001    0.000 _version.py:55(__init__)
      125    0.000    0.000    0.000    0.000 {all}
      317    0.000    0.000    0.000    0.000 overrides.py:111(array_function_dispatch)
        1    0.000    0.000    0.000    0.000 sf_error.py:1(<module>)
       16    0.000    0.000    0.000    0.000 functools.py:39(wraps)
       11    0.000    0.000    0.000    0.000 {eval}
        2    0.000    0.000    0.000    0.000 {method 'readlines' of 'file' objects}
